Id,RecipeId,Ingredient,IngredientQty
1,1,Bitter Gourd,6
2,1,Salt,As needed
3,1,Onion,1
4,1,Gram Flour,3 Spoons
5,1,Turmeric,2 Tea Spoons
6,1,Red Chilli Powder,1 Spoon
7,1,Cummin Seeds,2 Tea Spoons
8,1,Corriander Powder,1 Spoon
9,1,Dry Mango Powder,1 Spoon
10,2,Rice (cooked),2-1/2 cups
11,2,Tomatoes,3
12,2,BC Belle Bhat powder,3 teaspoons
13,2,Salt,As per taste
14,2,Chickpea lentils,1 teaspoon
15,2,Cumin seeds,1/2 teaspoon
16,2,White urad dal,1 teaspoon
17,2,Mustard,1/2 teaspoon
18,2,Green chilli,1
19,2,Dry red chilli,1
20,2,Cashew or peanuts,2 teaspoons
21,2,Oil,1-1/2 tablespoon
22,3,Rice Vermicelli Noodles (Thin),1-1/2 cups
23,3,Onion (sliced),1
24,3,Carrots (chopped),1/2 cup
25,3,Green peas,1/3 cup
26,3,Green Chillies,2
27,3,Asafoetida (hing),1/4 teaspoon
28,3,Mustard seeds,1 teaspoon
29,3,White Urad Dal (Split),1 teaspoon
30,3,Ghee,1 teaspoon
31,3,Curry leaves,1 sprig
32,3,Salt,To taste
33,3,Lemon juice,1 teaspoon
34,4,Vellai Poosanikai (Ash gourd/White Pumpkin),500 grams
35,4,Turmeric powder (Haldi),1/2 teaspoon
36,4,Salt,To taste
37,4,Sunflower Oil (for cooking),As needed
38,4,Dry Red Chillies,4
39,4,Fresh coconut (grated),1/2 cup
40,4,Tamarind Water,30 grams
41,4,Methi Seeds (Fenugreek Seeds),1/2 teaspoon
42,4,Cumin seeds (Jeera),1/2 teaspoon
43,4,Coriander (Dhania) Seeds,2 teaspoons
44,4,Sesame seeds (Til seeds),2 teaspoons
45,4,Jaggery,3 tablespoons
46,4,Tamarind Water,1 cup
47,4,Sunflower Oil,1 teaspoon
48,4,Mustard seeds,1/2 teaspoon
49,4,Curry leaves (roughly torn),2 sprigs
50,4,Dry Red Chillies,1
51,5,Tortillas,4
52,5,Black beans (soaked overnight and cooked),1/4 cup
53,5,Spinach Leaves (Palak),6 to 8 leaves
54,5,Onion (chopped),1
55,5,Tomato (chopped),1
56,5,Garlic (chopped),2 cloves
57,5,Coriander (Dhania) Leaves,2 sprigs
58,5,Rice or brown rice,1 cup
59,5,Lemon juice,From 1 lemon
60,5,Spring Onion Greens (chopped),4
61,5,Cheddar cheese,4 tablespoons
62,5,Hung Curd (Greek Yogurt),4 tablespoons
63,6,Idli (cut into strips),10
64,6,"Green Bell Pepper (Capsicum, thinly sliced)",1 cup
65,6,Tomato (finely chopped),1 cup
66,6,Onions (finely chopped),1 cup
67,6,Green Chillies (finely chopped),2
68,6,Red Chilli powder,1/4 teaspoon
69,6,Turmeric powder (Haldi),1/2 teaspoon
70,6,Tomato Ketchup,3 tablespoons
71,6,Coriander (Dhania) Leaves,To taste
72,6,Mint Leaves (Pudina),To taste
73,6,Sunflower Oil,2 teaspoons
74,6,Salt,To taste
75,7,Cabbage leaves,1 cup
76,7,Tomatoes,3/4 cup
77,7,Tamarind,18 grams
78,7,White urad dal,2 tablespoons
79,7,Red chillies,4
80,7,Salt,As per taste
81,7,Asafoetida,A pinch
82,7,Garlic,3 cloves
83,7,Turmeric powder,A pinch
84,7,Oil,1 big spoon
85,7,Rye,1 teaspoon
86,7,Cumin seeds,1/2 teaspoon
87,7,Curry leaves,1 sprig
88,8,Dry beans (such as cannellini or soya beans),250 grams
89,8,Extra Virgin Olive Oil,1 teaspoon
90,8,Onion (finely chopped),1
91,8,Garlic (grated),1 clove
92,8,Tomatoes (pureed),500 grams
93,8,Honey,1 tablespoon
94,8,Cumin powder (Jeera),1 teaspoon
95,8,Dried oregano,1 teaspoon
96,8,Red Chilli powder or cayenne pepper,1/4 teaspoon
97,8,Salt and Pepper (coarsely pounded),To taste
98,9,Burger buns,2
99,9,Pickled Jalapenos (sliced),5
100,9,Cheese Slices,2
101,9,Potatoes (pressure cooked),2
102,9,Onion (chopped),1
103,9,Red Chilli powder,1 tablespoon
104,9,Salt,To taste
105,9,Whole Egg,1
106,9,Whole Wheat Bread crumbs,1/2 cup
107,9,Garlic (chopped),4 cloves
108,9,Onions (chopped),1
109,9,Tomatoes (chopped),2
110,9,Homemade tomato puree,1 cup
111,9,"Green Bell Pepper (Capsicum, chopped)",1/2 cup
112,9,Soy granules,1/2 cup
113,9,Red Chilli powder,1 tablespoon
114,9,Red Chilli flakes,1 teaspoon
115,9,Cumin powder (Jeera),1 tablespoon
116,9,Dried oregano,1 tablespoon
117,9,Tabasco Original - Hot Sauce,1 tablespoon
118,9,Honey,1 teaspoon
119,9,Salt,To taste
120,9,Sunflower Oil,As needed
121,10,"Aar Maach (fish, rohu/katla, cut into thick steaks)",600 grams
122,10,Tomato (finely chopped),1
123,10,Bay leaves (tej patta),2
124,10,Ginger (paste),1-1/2 tablespoons
125,10,Green Chillies (coarsely crushed),4
126,10,Cumin powder (Jeera),1 teaspoon
127,10,Coriander Powder (Dhania),1 teaspoon
128,10,Salt,To taste
129,10,Cumin seeds (Jeera),1/2 teaspoon
130,10,Turmeric powder (Haldi),1/2 teaspoon
131,10,Green Chillies (slit lengthwise),2
132,10,Mustard oil,As required
133,10,Water,1-1/4 cups
134,10,Sugar (optional),A pinch
135,10,Coriander (Dhania) Leaves (optional),1 tablespoon
136,11,Potatoes (halved with skin),5
137,11,Fennel seeds (crushed),2 teaspoons
138,11,Red Chilli powder,2 teaspoons
139,11,Turmeric powder (Haldi),1 teaspoon
140,11,Fresh cream (or milk),1/4 cup (or 1/2 cup milk)
141,11,Coriander (Dhania) Leaves (finely chopped),4 sprigs
142,12,Onions,2
143,12,Cumin seeds,1 teaspoon
144,12,Black urad dal (split),2 tablespoons
145,12,Tamarind paste,1 tablespoon
146,12,Dry red chillies,3
147,12,Jaggery,1/2 teaspoon
148,12,Oil,2 teaspoons
149,12,Salt,1 teaspoon (or to taste)
150,12,Rye,As needed
151,12,Curry leaves,1 sprig
152,12,Oil (for tempering),1/2 teaspoon
153,13,Whole Eggs (boiled),4
154,13,Cinnamon Stick (Dalchini),1 small
155,13,Bay leaf (tej patta),1
156,13,Cloves (Laung),2
157,13,Sunflower Oil,1 tablespoon
158,13,Coriander Powder (Dhania),2 teaspoons
159,13,Garam masala powder,1 teaspoon
160,13,Fresh cream,2 tablespoons
161,13,Coriander (Dhania) Leaves (tightly packed),2 cups
162,13,"Mint Leaves (Pudina, chopped)",1 cup
163,13,Green Chillies (chopped),2
164,13,Onion (roughly chopped),1
165,13,Ginger (chopped),1 inch
166,13,Garlic,4 cloves
167,14,Curd,2 cups
168,14,Gourd (peeled and finely grated),1 cup
169,14,Cucumber (peeled and ground),1
170,14,Green chilli (finely chopped),1
171,14,Coriander leaves (chopped),A little
172,14,Cumin powder,1/2 teaspoon
173,14,Salt,As per taste
174,15,Potatoes (Aloo),10
175,15,Garlic powder,1 teaspoon
176,15,Onion powder,1 teaspoon
177,15,Dried oregano,1 teaspoon
178,15,Coriander (Dhania) Leaves (finely chopped),1 tablespoon
179,15,Red Chilli flakes,1 teaspoon
180,15,All Purpose Flour (Maida),2 tablespoons
181,15,Rice flour,1 tablespoon
182,15,Salt,To taste
183,15,Sunflower Oil,For deep frying
184,16,Sunflower Oil,1 tablespoon
185,16,All Purpose Flour (Maida),As needed (quantity not specified)
186,16,Baking powder,1/4 teaspoon
187,16,Water (for dough),As needed (quantity not specified)
188,16,Sunflower Oil (for deep frying),As needed
189,16,Honey,2 tablespoons
190,16,Sugar,2 tablespoons
191,16,"Sesame seeds (Til seeds, white)",1 tablespoon
192,16,Water (for mixture),2 tablespoons
193,16,Vanilla Extract,1/2 teaspoon
194,17,Sundkai,1/2 cup
195,17,Fenugreek,1/4 cup
196,17,Arhar dal (boiled and mashed),1/2 cup
197,17,Tomato,2-Jan
198,17,Tamarind,1
199,17,Turmeric Powder,1/2 teaspoon
200,17,Sambar Powder,2 teaspoons
201,17,Coriander Powder,1 teaspoon
202,17,Mustard,1/2 teaspoon
203,17,Cumin seeds,1/4 teaspoon
204,17,Dry red chili,1
205,17,Asafoetida,1/4 teaspoon
206,17,Oil,As per use
207,17,Salt,As per taste
208,17,Curry leaves,A little
209,17,Green coriander,A little
210,17,Water,According to use
211,18,Cabbage (shredded),1 cup
212,18,Spinach (shredded),1 cup
213,18,Fresh Pomegranate Fruit Kernels,1 cup
214,18,Lemon juice,2
215,18,Extra Virgin Olive Oil,2 tablespoons
216,18,Salt and Pepper,To taste
217,19,All Purpose Flour (Maida),1 cup
218,19,Ghee,2 tablespoons
219,19,Salt,1/2 teaspoon
220,19,Sunflower Oil (for deep frying),As needed
221,19,Ghee (additional),2 tablespoons
222,19,Cumin seeds (Jeera),1 teaspoon
223,19,Green Chilli Sauce,1 teaspoon
224,19,Cinnamon Powder (Dalchini),1/2 teaspoon
225,19,Garam masala powder,1/2 teaspoon
226,19,Red Chilli powder,1/4 teaspoon
227,19,Amchur (Dry Mango Powder),2 teaspoons
228,19,Green peas (steamed and mashed),1-1/2 cups
229,19,Salt,To taste
230,19,"All Purpose Flour (Maida, additional)",2 teaspoons
231,19,Water,1/4 cup
232,20,All Purpose Flour (Maida),1 cup
233,20,Sugar,1/2 cup
234,20,Dark chocolate,1 cup
235,20,Cocoa Powder,1/2 cup
236,20,Salted butter,1/2 cup
237,20,Milk,3/4 cup
238,20,Baking powder,1/2 tablespoon
239,20,Baking soda,1/2 teaspoon
240,20,Vanilla Extract,1/2 tablespoon
241,20,Britannia Cream Cheese,1 cup
242,20,Caster Sugar,3/4 cup
243,20,Vanilla Extract (additional),1 teaspoon
244,20,Fresh raspberries,8
